Seminatic_type,,Term,Concept_Type
Laboratory Procedure,91,phos,Phosphate measurement
Laboratory Procedure,268,test,Laboratory Procedures
Laboratory Procedure,300,section,Sectioning technique
Laboratory Procedure,348,gtt,Glucose tolerance test
Manufactured Object,88,bottle,"Bottle, device"
Manufactured Object,110,wall,Walls of a building
Manufactured Object,321,shower,Shower (physical object)
Medical Device,90,needle,Needle device
Medical Device,158,respiratory,Mechanical Ventilator
Medical Device,183,stent,"Stent, device"
Medical Device,190,scale,Weight measurement scales
Medical Device,235,lift,Hoist device
Medical Device,320,syrinx,Syringes
Mental Process,60,pleasant,Pleasant
Mental Process,295,feel,Feelings
Mental Process,359,call,Decision
Mental Process,360,gram,Grief reaction
Mental Process,365,transfer,Psychological Transfer
Natural Phenomenon or Process,7,dry,Desiccation
Natural Phenomenon or Process,148,wave,wave - physical agent
Natural Phenomenon or Process,304,flow,Flow
Natural Phenomenon or Process,353,waveform,Waveforms
Neoplastic Process,9,secondary,Neoplasm Metastasis
Neoplastic Process,308,angioma,Hemangioma
Neoplastic Process,367,bl,Burkitt Lymphoma
"Nucleic Acid, Nucleoside, or Nucleotide",130,dt,2'-Deoxythymidine
"Nucleic Acid, Nucleoside, or Nucleotide",137,polys,Poly A
Occupation or Discipline,347,history,History
Occupational Activity,260,work,Work
Occupational Activity,281,service,Services
Occupational Activity,284,management,Administration occupational activities
Organ or Tissue Function,236,sensation,Esthesia
Organic Chemical,4,ondansetron,ondansetron
Organic Chemical,5,fluconazole,fluconazole
Organic Chemical,11,tacrolimus,tacrolimus
Organic Chemical,55,morphine,morphine
Organic Chemical,58,pantoprazole,pantoprazole
Organic Chemical,97,azathioprine,azathioprine
Organic Chemical,118,guaiac,guaiac
Organic Chemical,128,prednisone,prednisone
Organic Chemical,129,rifaximin,rifaximin
Organic Chemical,156,valganciclovir,valganciclovir
Organic Chemical,159,lactulose,lactulose
Organic Chemical,163,pregabalin,CI 1008
Organic Chemical,164,oxycodone,oxycodone
Organic Chemical,171,zofran,Zofran
Organic Chemical,180,cb,cinobufotalin
Organic Chemical,184,today,Today
Organic Chemical,241,spironolactone,spironolactone
Organic Chemical,256,heroin,heroin
Organic Chemical,264,rise,risedronate
Organic Chemical,290,clotrimazole,clotrimazole
Organic Chemical,303,docusate,docusate
Organic Chemical,305,tartrate,Tartrates
Organic Chemical,341,dilaudid,Dilaudid
Organic Chemical,346,cc,cholecalciferol
Organic Chemical,362,marijuana,Marihuana
Organism Attribute,87,able,Ability
Organism Attribute,157,temperature,Body Temperature
Organism Function,80,eating,Eating
Organism Function,166,movement,Movement
Organism Function,187,vision,Vision
Organism Function,285,sleep,Sleep
Organization,26,un,United Nations
Pathologic Function,109,autoimmune,Autoimmune reaction
Pathologic Function,154,congestion,Congestion
Pathologic Function,177,edema,Edema
Pathologic Function,213,peritonitis,Peritonitis
Pathologic Function,214,distension,Pathological Dilatation
Pathologic Function,265,dilatation,Aneurysm
Pathologic Function,294,proliferation,Proliferation (morphologic abnormality)
Pathologic Function,302,embolic,Embolism
Patient or Disabled Group,61,outpatient,Outpatients
Patient or Disabled Group,120,patient,Patients
Pharmacologic Substance,132,medication,Pharmaceutical Preparations
Pharmacologic Substance,227,prevent,PREVENT (product)
Pharmacologic Substance,271,drug,Pharmaceutical Preparations
Phenomenon or Process,145,decompression,"Decompression, external"
Phenomenon or Process,330,pressure,Pressure- physical agent
Plant,24,peanut,Arachis hypogaea
Plant,299,drop,Glycyrrhiza
Population Group,46,single,Unmarried person
Population Group,174,woman,Woman
Population Group,274,donor,Donor person
Qualitative Concept,10,sure,Certain (qualifier value)
Qualitative Concept,14,typical,Usual
Qualitative Concept,22,usual,Usual
Qualitative Concept,36,potential,Potential
Qualitative Concept,38,cirrhotic,Cirrhotic
Qualitative Concept,39,high,High
Qualitative Concept,44,new,New
Qualitative Concept,47,paternal,Paternal (qualifier)
Qualitative Concept,52,stable,Stable status
Qualitative Concept,67,inaccurate,Inaccurate
Qualitative Concept,68,ductal,Ductal
Qualitative Concept,76,specific,Specific qualifier value
Qualitative Concept,79,heterogeneous,Heterogeneity
Qualitative Concept,85,active,Active
Qualitative Concept,86,intact,Intact
Qualitative Concept,101,similar,Similarity
Qualitative Concept,104,good,Good
Qualitative Concept,107,Last,Last
Qualitative Concept,179,peak,Peak level
Qualitative Concept,208,variation,Variant
Qualitative Concept,230,decrease,Reduced
Qualitative Concept,298,detail,Details
Qualitative Concept,315,nt,No treatment required for
Qualitative Concept,326,stricture,Stenosis Morphology
Qualitative Concept,334,status,Status
Qualitative Concept,358,vasculature,Blood supply aspects
Quantitative Concept,43,significant,Statistical Significance
Quantitative Concept,53,small,Small
Quantitative Concept,95,third,Third
Quantitative Concept,100,common,Common (qualifier value)
Quantitative Concept,108,first,First (number)
Quantitative Concept,115,mom,Multiple of the median
Quantitative Concept,149,velocity,Velocity
Quantitative Concept,210,multiple,Numerous
Quantitative Concept,226,inch,Inch Unit of Length
Quantitative Concept,266,unit,Unit
Quantitative Concept,279,amount,Quantity
Quantitative Concept,325,dose,Dosage
Quantitative Concept,338,measure,Measures
Quantitative Concept,354,count,Count
Quantitative Concept,355,range,Range
Sign or Symptom,6,itch,Pruritus
Sign or Symptom,17,cough,Coughing
Sign or Symptom,64,fatigue,Fatigue
Sign or Symptom,66,symptom,Symptoms
Sign or Symptom,117,jaundice,Icterus
Sign or Symptom,143,rhinorrhea,Rhinorrhea
Sign or Symptom,144,asterixis,Asterixis
Sign or Symptom,220,nausea,Nausea
Sign or Symptom,234,constipation,Constipation
Sign or Symptom,247,hematemesis,Hematemesis
Sign or Symptom,252,chill,Chills
Sign or Symptom,283,emesis,Vomiting
Sign or Symptom,286,headache,Headache
Sign or Symptom,344,fever,Fever
Sign or Symptom,356,pruritis,Pruritus
Sign or Symptom,363,dysuria,Dysuria
Social Behavior,200,direction,Leadership
Spatial Concept,3,next,Adjacent
Spatial Concept,16,intrahepatic,intrahepatic
Spatial Concept,21,middle,Middle
Spatial Concept,23,focal,Focal
Spatial Concept,34,perihepatic,Perihepatic
Spatial Concept,50,quadrant,Quadrant
Spatial Concept,57,extrahepatic,Extrahepatic
Spatial Concept,83,proximal,Proximal
Spatial Concept,84,distal,Distal (qualifier value)
Spatial Concept,103,upper,Upper
Spatial Concept,105,duplex,Duplex
Spatial Concept,116,peripheral,Peripheral
Spatial Concept,135,coil,Coils (formation)
Spatial Concept,139,posterior,Dorsal
Spatial Concept,178,diffuse,Diffuse
Spatial Concept,216,home,Home environment
Spatial Concept,243,mid,Middle
Spatial Concept,246,position,Positioning Attribute
Spatial Concept,258,po,Oral
Spatial Concept,269,site,Site
Spatial Concept,277,gauge,Gauges (qualifier value)
Spatial Concept,287,line,Linear
Spatial Concept,352,portion,Part
Substance,172,air,Air (substance)
Temporal Concept,1,initial,Initially
Temporal Concept,20,yr,year
Temporal Concept,30,minute,Minute of time
Temporal Concept,31,old,Old
Temporal Concept,54,operative,Operative
Temporal Concept,56,episode,Episode of
Temporal Concept,65,chronic,chronic
Temporal Concept,69,recent,Recent
Temporal Concept,73,systolic,Systole
Temporal Concept,121,intermittent,Intermittent
Temporal Concept,133,persistent,Persistent
Temporal Concept,151,qid,Four times daily
Temporal Concept,153,night,Night time
Temporal Concept,170,time,Time
Temporal Concept,189,month,Monthly (qualifier value)
Temporal Concept,197,day,Daily
Temporal Concept,206,morning,Morning
Temporal Concept,223,hour,Hour
Temporal Concept,291,week,week
Temporal Concept,310,postop,Postoperative Period
Temporal Concept,336,qam,Every morning
Temporal Concept,357,course,Course
Therapeutic or Preventive Procedure,112,ligation,Ligation
Therapeutic or Preventive Procedure,160,transfusion,Blood Transfusion
Therapeutic or Preventive Procedure,173,procedure,Interventional procedure
Therapeutic or Preventive Procedure,201,drain,Drainage procedure
Therapeutic or Preventive Procedure,231,replacement,Surgical Replantation
Therapeutic or Preventive Procedure,263,duodenotomy,Incision of duodenum
Therapeutic or Preventive Procedure,273,transplant,Transplantation
Therapeutic or Preventive Procedure,297,rehab,Rehabilitation therapy
Therapeutic or Preventive Procedure,313,laparotomy,Laparotomy
Therapeutic or Preventive Procedure,361,incision,Surgical incisions
Therapeutic or Preventive Procedure,368,sliding scale,sliding scale
Tissue,15,normal,Body tissue
Tissue,292,membrane,Tissue membrane
